# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 5 | GET | https://www.facebook.com/tr/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F%23860cac30-00e5-4e3a-8a57-bd40904e7777&rl=&if=false&ts=1775506961311&sw=1536&sh=864&v=2.9.291&r=stable&ec=4&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506961235&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=GET | success - 200 |
| 6 | GET | https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F%23860cac30-00e5-4e3a-8a57-bd40904e7777&rl=&if=false&ts=1775506961311&sw=1536&sh=864&v=2.9.291&r=stable&ec=4&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506961235&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=FGET | success - 200 |
| 7 | GET | https://www.istinye.edu.tr/themes/custom/istinye/favicon.ico | success - 200 |
| 8 | GET | https://www.facebook.com/tr/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F&rl=&if=false&ts=1775506961443&sw=1536&sh=864&v=2.9.291&r=stable&ec=5&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506961371&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=GET | success - 200 |
| 9 | GET | https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F&rl=&if=false&ts=1775506961443&sw=1536&sh=864&v=2.9.291&r=stable&ec=5&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506961371&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=FGET | success - 200 |
| 10 | GET | https://www.istinye.edu.tr/themes/custom/istinye/favicon.ico | success - 200 |
| 11 | GET | https://www.istinye.edu.tr/themes/custom/istinye/favicon.ico | success - 200 |
| 12 | GET | https://www.facebook.com/tr/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F%239f53ee72-e526-4797-a574-f398dce068c5&rl=&if=false&ts=1775506990843&sw=1536&sh=864&v=2.9.291&r=stable&ec=6&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506990773&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=GET | success - 200 |
| 13 | GET | https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=2269589596726051&ev=PageView&dl=https%3A%2F%2Fwww.istinye.edu.tr%2F%239f53ee72-e526-4797-a574-f398dce068c5&rl=&if=false&ts=1775506990843&sw=1536&sh=864&v=2.9.291&r=stable&ec=6&o=4126&fbp=fb.2.1775506898457.196353460146861578&ler=empty&cdl=API_unavailable&pmd[title]=%C4%B0stinye%20%C3%9Cniversitesi&pmd[locale]=tr&pmd[description]=%C4%B0stinye%20%C3%9Cniversitesi%2C%20%22Liv%20Hospital%E2%80%9D%2C%20%E2%80%9CMedical%20Park%20%22%20ve%20%22VM%20Medical%20Park%22%20olmak%20%C3%BCzere%20%C3%BC%C3%A7%20ayr%C4%B1%20hastane%20markas%C4%B1n%C4%B1%20tek%20%C3%A7at%C4%B1%20alt%C4%B1nda%20bulu%C5%9Fturan%20MLP%20Care%20Grubu%E2%80%99nun%2029%20y%C4%B1ll%C4%B1k%20bilgi%20ve%20birikiminin%20devam%C4%B1%20olarak%2C%2021.%20Y%C3%BCzy%C4%B1l%20Anadolu%20Vakf%C4%B1%20taraf%C4%B1ndan%202015%20y%C4%B1l%C4%B1nda%20kurulmu%C5%9Ftur.&plt=1260.8000011444092&it=1775506990773&coo=false&expv2[0]=pl1&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra2&expv2[4]=rp2&expv2[5]=ct3&expv2[6]=hf1&rqm=FGET | pending |
